AdaRealmPlot0,-27,75
AdaRealmPlot1,-27,74
AdaRealmPlot2,-26,74
AdaRealmPlot3,-25,74
AdaRealmPlot4,-24,74
AdaRealmPlot5,-23,74
AdaRealmPlot6,-22,74
AdaRealmPlot7,-21,74
AdaRealmPlot8,-22,75
AdaRealmPlot9,-25,75
AdaRealmPlot10,-26,75
AdaRealmPlot11,-28,75
AdaRealmPlot12,-32,66
AdaRealmPlot13,-32,65
AdaRealmPlot14,-33,64
AdaRealmPlot15,-33,63
AdaRealmPlot16,-33,61
AdaRealmPlot17,-32,59
AdaRealmPlot18,-32,58
AdaRealmPlot19,-31,57
AdaRealmPlot20,-29,56
AdaRealmPlot21,-26,56
AdaRealmPlot22,-23,57
AdaRealmPlot23,-21,57
AdaRealmPlot24,-19,58
AdaRealmPlot25,-18,58
AdaRealmPlot26,-17,60
AdaRealmPlot27,-17,63
AdaRealmPlot28,-17,66
AdaRealmPlot29,-17,68
AdaRealmPlot30,-18,70
AdaRealmPlot31,-18,71
AdaRealmPlot32,-19,72
AdaRealmPlot33,-20,72
AdaRealmPlot34,-22,73
AdaRealmPlot35,-23,73
AdaRealmPlot36,-22,72
AdaRealmPlot37,-21,71
AdaRealmPlot38,-20,70
AdaRealmPlot39,-21,70
AdaRealmPlot40,-23,71
AdaRealmPlot41,-24,72
AdaRealmPlot42,-25,72
AdaRealmPlot43,-24,73
AdaRealmPlot44,-25,73
AdaRealmPlot45,-26,73
AdaRealmPlot46,-27,73
AdaRealmPlot47,-28,71
AdaRealmPlot48,-27,71
AdaRealmPlot49,-26,72
AdaRealmPlot50,-24,71
AdaRealmPlot51,-23,72
AdaRealmPlot52,-20,71
AdaRealmPlot53,-19,71
AdaRealmPlot54,-21,72
AdaRealmPlot55,-21,73
AdaRealmPlot56,-20,73
AdaRealmPlot57,-19,73
AdaRealmPlot58,-19,74
AdaRealmPlot59,-20,74
AdaRealmPlot60,-20,75
AdaRealmPlot61,-21,75
AdaRealmPlot62,-23,75
AdaRealmPlot63,-24,75
AdaRealmPlot64,-19,75
AdaRealmPlot65,-18,73
AdaRealmPlot66,-18,72
AdaRealmPlot67,-17,72
AdaRealmPlot68,-16,72
AdaRealmPlot69,-15,72
AdaRealmPlot70,-15,71
AdaRealmPlot71,-15,70
AdaRealmPlot72,-15,69
AdaRealmPlot73,-15,68
AdaRealmPlot74,-15,67
AdaRealmPlot75,-15,66
AdaRealmPlot76,-15,65
AdaRealmPlot77,-15,64
AdaRealmPlot78,-15,63
AdaRealmPlot79,-15,62
AdaRealmPlot80,-14,62
AdaRealmPlot81,-14,61
AdaRealmPlot82,-14,60
AdaRealmPlot83,-14,59
AdaRealmPlot84,-14,64
AdaRealmPlot85,-14,63
AdaRealmPlot86,-14,65
AdaRealmPlot87,-14,66
AdaRealmPlot88,-14,67
AdaRealmPlot89,-14,68
AdaRealmPlot90,-14,69
AdaRealmPlot91,-14,70
AdaRealmPlot92,-14,71
AdaRealmPlot93,-13,58
AdaRealmPlot94,-14,58
AdaRealmPlot95,-15,58
AdaRealmPlot96,-15,57
AdaRealmPlot97,-15,56
AdaRealmPlot98,-16,56
AdaRealmPlot99,-16,55
AdaRealmPlot100,-17,55
AdaRealmPlot101,-18,55
AdaRealmPlot102,-19,55
AdaRealmPlot103,-19,54
AdaRealmPlot104,-20,54
AdaRealmPlot105,-21,54
AdaRealmPlot106,-21,53
AdaRealmPlot107,-21,52
AdaRealmPlot108,-21,51
AdaRealmPlot109,-22,51
AdaRealmPlot110,-22,50
AdaRealmPlot111,-22,49
AdaRealmPlot112,-22,48
AdaRealmPlot113,-23,48
AdaRealmPlot114,-23,47
AdaRealmPlot115,-23,46
AdaRealmPlot116,-23,45
AdaRealmPlot117,-24,45
AdaRealmPlot118,-24,44
AdaRealmPlot119,-24,43
AdaRealmPlot120,-24,42
AdaRealmPlot121,-24,41
AdaRealmPlot122,-24,40
AdaRealmPlot123,-25,39
AdaRealmPlot124,-25,38
AdaRealmPlot125,-25,37
AdaRealmPlot126,-25,36
AdaRealmPlot127,-25,35
AdaRealmPlot128,-25,34
AdaRealmPlot129,-26,33
AdaRealmPlot130,-26,32
AdaRealmPlot131,-26,31
AdaRealmPlot132,-26,30
AdaRealmPlot133,-26,29
AdaRealmPlot134,-26,28
AdaRealmPlot135,-26,27
AdaRealmPlot136,-27,26
AdaRealmPlot137,-27,25
AdaRealmPlot138,-27,24
AdaRealmPlot139,-27,23
AdaRealmPlot140,-27,22
AdaRealmPlot141,-27,21
AdaRealmPlot142,-27,19
AdaRealmPlot143,-27,18
AdaRealmPlot144,-26,16
AdaRealmPlot145,-26,15
AdaRealmPlot146,-26,14
AdaRealmPlot147,-26,13
AdaRealmPlot148,-25,12
AdaRealmPlot149,-25,11
AdaRealmPlot150,-25,10
AdaRealmPlot151,-24,9
AdaRealmPlot152,-23,8
AdaRealmPlot153,-23,7
AdaRealmPlot154,-22,7
AdaRealmPlot155,-22,6
AdaRealmPlot156,-27,57
AdaRealmPlot157,-28,56
AdaRealmPlot158,-29,57
AdaRealmPlot159,-30,57
AdaRealmPlot160,-30,58
AdaRealmPlot161,-31,58
AdaRealmPlot162,-32,60
AdaRealmPlot163,-33,60
AdaRealmPlot164,-33,62
AdaRealmPlot165,-33,65
AdaRealmPlot166,-30,68
AdaRealmPlot167,-29,69
AdaRealmPlot168,-28,69
AdaRealmPlot169,-28,70
AdaRealmPlot170,-27,70
AdaRealmPlot171,-26,71
AdaRealmPlot172,-25,71
AdaRealmPlot173,-29,70
AdaRealmPlot174,-29,68
AdaRealmPlot175,-28,68
AdaRealmPlot176,-28,67
AdaRealmPlot177,-29,67
AdaRealmPlot178,-30,67
AdaRealmPlot179,-30,66
AdaRealmPlot180,-31,66
AdaRealmPlot181,-31,65
AdaRealmPlot182,-30,65
AdaRealmPlot183,-30,64
